question,option_a,option_b,option_c,option_d,marks,correct_answer
You are taking a constant-radius left-hand corner at increasing speed. The car starts requiring more steering angle to maintain the same line. What handling characteristic is this?,Oversteer,Understeer,Neutral steer,Bump steer,2,B
A Formula Student car is braking hard before a corner. Which tires generally experience an increase in vertical load?,Rear tires,Front tires,All four equally,Inside tires,2,B
"Looking at a car from the front, the top of the tire is tilted inward toward the center of the car. What alignment parameter is this?",Positive camber,Negative camber,Toe-in,Caster,2,B
Why might a race car use negative camber?,To increase engine power,To maintain better tire contact during cornering,To increase ride height,To reduce steering effort,2,B
"Looking at the front wheels from above, the front edges of the tires point slightly toward each other. What is this called?",Toe-out,Toe-in,Positive camber,Caster,2,B
"During a tight left turn, why does the inside front wheel need a greater steering angle than the outside front wheel?",It follows a smaller-radius path,It carries more vertical load,It has a larger tire,It receives more braking force,2,A
Two identical cars have different center-of-gravity heights. Which car will generally experience greater lateral load transfer during cornering?,The car with the lower CG,The car with the higher CG,Both equally,Neither,2,B
A tire is already using most of its available grip for braking. The driver then turns sharply. What is likely to happen?,The tire gains unlimited grip,The tire may lose grip,The tire pressure automatically increases,Nothing changes,2,B
"You change tire pressure, camber, toe and damper settings simultaneously, and the car improves. What is the biggest problem?",The car will become unstable,You cannot determine which change caused the improvement,The tires will automatically overheat,The suspension will become softer,2,B
"A driver says, ""The car doesn't want to turn into the corner."" Before changing the setup, what should you do?",Immediately change camber,Ask the driver more specific questions about the behavior,Increase engine power,Change all four tires,2,B
What is the primary function of a differential?,Increase engine RPM,Allow driven wheels to rotate at different speeds,Control suspension movement,Increase brake pressure,2,B
What is the primary function of a suspension damper?,Support the entire weight of the car,Control suspension oscillations,Increase tire diameter,Generate steering force,2,B
What is the correct order of the four strokes in a four-stroke engine?,Compression → Intake → Power → Exhaust,Intake → Compression → Power → Exhaust,Intake → Power → Compression → Exhaust,Exhaust → Intake → Power → Compression,2,B
What is the main purpose of a catalytic converter?,Increase engine torque,Reduce harmful exhaust emissions,Cool the engine oil,Increase fuel pressure,2,B
What is the purpose of synchronizers in a manual gearbox?,Match gear speeds during shifting,Increase engine power,Cool the transmission,Control the differential,2,A
