question,option_a,option_b,option_c,option_d,marks,correct_answer
"While cornering, the rear of a car begins to slide outward and the car rotates more than the driver intended. What handling behavior is this?",Understeer,Oversteer,Neutral steer,Dive,2,B
A car accelerates hard out of a corner. What generally happens to the vertical load on the rear tires?,It increases,It decreases,It becomes zero,It stays exactly the same,2,A
You look at a race car from the front and notice that the tops of its front tires lean outward from the center of the car. What type of camber is this?,Negative camber,Positive camber,Toe-in,Caster,2,B
A Formula Student car is cornering hard and the suspension rolls the body toward the outside of the turn. Why can negative camber be useful in this situation?,It can help keep the tire better positioned relative to the road,It increases engine RPM,It increases wheelbase,It reduces fuel consumption,2,A
"Looking at a car from above, the front edges of the front tires point slightly away from each other. What is this setup called?",Toe-in,Toe-out,Negative camber,Positive caster,2,B
A steering system is designed so that the two front wheels do not turn by exactly the same angle during a corner. What is the main reason?,Both wheels follow paths with different radii,The outside tire is always smaller,The inside tire has more air pressure,It reduces engine temperature,2,A
A car takes a left-hand corner and you compare the left and right tires. Which side generally carries more vertical load during the corner?,Left side,Right side,Both equally,Neither,2,B
A driver is cornering while simultaneously braking heavily. Why might the car lose grip if the driver brakes even harder?,The tire has a limited total amount of available grip,Braking always increases cornering grip,The tire becomes physically larger,The suspension stops moving,2,A
You make a suspension change and want to determine whether it improved the car. Which approach gives you the most useful comparison?,Change several other settings at the same time,Test under similar conditions and record the results,Judge only by looking at the car,Ask another team what they think,2,B
A driver reports that the car feels unstable during corner entry. What should you do before randomly changing suspension settings?,Ask the driver exactly when and how the instability occurs,Immediately change all four dampers,Increase engine power,Remove the anti-roll bar,2,A
"When a car turns around a corner, the outside driven wheel travels farther than the inside driven wheel. Which component allows this difference in wheel speed?",Flywheel,Differential,Clutch,Damper,2,B
"After driving over a bump, the car keeps bouncing several times. Which component is primarily responsible for controlling this oscillation?",Spring,Damper,Differential,Flywheel,2,B
During which stroke of a conventional four-stroke engine is the air-fuel mixture ignited to produce useful power?,Intake,Compression,Power,Exhaust,2,C
Which of the following is most directly related to the job of a catalytic converter?,Reducing harmful exhaust pollutants,Increasing tire grip,Controlling suspension damping,Increasing gearbox speed,2,A
"When shifting gears in a manual transmission, what do synchronizers primarily help with?",Matching rotational speeds for smoother gear engagement,Increasing engine displacement,Cooling the clutch,Changing the final-drive ratio,2,A
